Owner,Team,League,Recipient,Amount,Election Year,Party,Desempenho
Adam Silver,COMMISSIONER,NBA,WRIGHT 2016,"$4,000 ",2016,Democrat,
Adam Silver,COMMISSIONER,NBA,BIDEN FOR PRESIDENT,"$2,800 ",2020,Democrat,
Adam Silver,COMMISSIONER,NBA,CORY 2020,"$2,700 ",2020,Democrat,
Adam Silver,COMMISSIONER,NBA,Kamala Harris for the People,"$2,700 ",2020,Democrat,
Adam Silver,COMMISSIONER,NBA,Win The Era PAC,"$2,700 ",2020,Democrat,
Adam Silver,COMMISSIONER,NBA,KOHL FOR CONGRESS,"$2,000 ",2018,Democrat,
Adam Silver,COMMISSIONER,NBA,BETO FOR TEXAS,"$1,000 ",2018,Democrat,
Adam Silver,COMMISSIONER,NBA,MONTANANS FOR TESTER,"$1,000 ",2018,Democrat,
Adam Silver,COMMISSIONER,NBA,SERVE AMERICA PAC,"$1,000 ",2018,Democrat,
Adam Silver,COMMISSIONER,NBA,ADAM SCHLEIFER FOR CONGRESS,"$1,000 ",2020,Democrat,
Adam Silver,COMMISSIONER,NBA,ELISSA SLOTKIN FOR CONGRESS,"$1,000 ",2020,Democrat,
Adam Silver,COMMISSIONER,NBA,DELGADO FOR CONGRESS,$500 ,2018,Democrat,
Alan Smolinisky,LOS ANGELES DODGERS,MLB,Americans for Tomorrow's Future,"$10,000 ",2020,,
Alan Smolinisky,LOS ANGELES DODGERS,MLB,Stand with Sanchez,"$2,800 ",2020,Democrat,
Alex Meruelo,ARIZONA COYOTES,NHL,All For Our Country Leadership PAC ,"$5,000 ",2020,Democrat,
Alex Meruelo,ARIZONA COYOTES,NHL,Nevadans for Steven Horsford,"$2,800 ",2020,Democrat,
Alex Meruelo,ARIZONA COYOTES,NHL,Esmeralda Soria for Congress,$500 ,2020,Democrat,
Amy Adams Strunk,TENNESSEE TITANS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563
Amy Adams Strunk,TENNESSEE TITANS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.563
Amy Adams Strunk,TENNESSEE TITANS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.688
Amy Adams Strunk,TENNESSEE TITANS,NFL,Portman for Senate Committee,"$2,700 ",2016,Republican,0.563
Amy Adams Strunk,TENNESSEE TITANS,NFL,Republican National Committee,$400 ,2016,Republican,0.563
Andrew Murstein,RICHARD PETTY MOTORSPORTS,NASCAR,Right to Rise USA,"$1,000 ",2016,Republican,
Andrew Murstein,RICHARD PETTY MOTORSPORTS,NASCAR,Hillary Victory Fund,"$1,000 ",2016,Democrat,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,"$10,600 ",2020,Republican,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2016,Bipartisan,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2018,Bipartisan,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,COLLINS FOR SENATOR,"$5,600 ",2020,Republican,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,"$5,600 ",2020,Republican,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,MCSALLY FOR SENATE INC,"$5,400 ",2018,Republican,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Trump Victory,"$5,400 ",2018,Republican,
Arte Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2020,Bipartisan,
Arthur Blank,ATLANTA FALCONS,NFL,Biden Victory Fund,"$35,500 ",2020,Democrat,0.25
Arthur Blank,ATLANTA FALCONS,NFL,Hillary Victory Fund,"$25,000 ",2016,Democrat,0.688
Arthur Blank,ATLANTA FALCONS,NFL,Bullock Victory Fund,"$15,600 ",2020,Democrat,0.25
Arthur Blank,ATLANTA FALCONS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.688
Arthur Blank,ATLANTA FALCONS,NFL,Georgia Federal Elections Committee,"$10,000 ",2018,Democrat,0.438
Arthur Blank,ATLANTA FALCONS,NFL,Gridiron-PAC,"$10,000 ",2020,Bipartisan,0.25
Arthur Blank,ATLANTA FALCONS,NFL,Georgians For Isakson,"$5,400 ",2016,Republican,0.688
Arthur Blank,ATLANTA FALCONS,NFL,Hillary For America,"$5,400 ",2016,Democrat,0.688
Arthur Blank,ATLANTA FALCONS,NFL,Montanans For Tester,"$5,400 ",2018,Democrat,0.438
Arthur Blank,ATLANTA FALCONS,NFL,Tester Victory Fund,"$5,400 ",2018,Democrat,0.438
Arthur Blank,ATLANTA FALCONS,NFL,Gridiron-PAC,"$5,000 ",2018,Bipartisan,0.438
Arthur Blank,ATLANTA FALCONS,NFL,The Home Depot Inc. Political Action Committee,"$5,000 ",2020,"Bipartisan, but mostly Republican",0.25
Arthur Blank,ATLANTA FALCONS,NFL,Homrich Congress,"$2,800 ",2020,Republican,0.25
Arthur Blank,ATLANTA FALCONS,NFL,Evan Bayh Committee,"$1,000 ",2016,Democrat,0.688
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$14,000 ",2018,Bipartisan,0.594
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$12,000 ",2016,Bipartisan,0.688
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.688
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.594
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,BIDEN FOR PRESIDENT,"$5,000 ",2020,Democrat,0.75
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.75
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,NORTH SIDE GOOD GOVERNMENT COMMITTEE,"$5,000 ",2020,Bipartisan,0.75
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,BOB CASEY FOR SENATE INC,"$2,700 ",2018,Democrat,0.594
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,REDWINGMCPAC,"$2,400 ",2018,Republican,0.594
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,BILL SHUSTER FOR CONGRESS,"$2,000 ",2016,Republican,0.688
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,FRIENDS OF PAT TOOMEY,"$2,000 ",2016,Republican,0.688
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,O'MALLEY FOR PRESIDENT,"$2,000 ",2016,Democrat,0.688
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,F.N.B. CORPORATION PAC,"$1,150 ",2016,Republican,0.688
Arthur J. Rooney II,PITTSBURGH STEELERS,NFL,CONOR LAMB FOR CONGRESS,"$1,000 ",2020,Democrat,0.75
Bill Cameron,DALLAS WINGS,WNBA,TRUSTED LEADERSHIP PAC,"$25,000 ",2016,Republican,
Bill Cameron,DALLAS WINGS,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$13,103 ",2018,"Bipartisan, but mostly Republican",0.441
Bill Cameron,DALLAS WINGS,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$12,138 ",2016,"Bipartisan, but mostly Republican",
Bill Cameron,DALLAS WINGS,WNBA,TED CRUZ VICTORY COMMITTEE,"$7,700 ",2018,Republican,0.441
Bill Cameron,DALLAS WINGS,WNBA,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,"$6,852 ",2020,"Bipartisan, but mostly Republican",0.364
Bill Cameron,DALLAS WINGS,WNBA,LUCAS FOR CONGRESS,"$3,687 ",2016,Republican,
Bill Cameron,DALLAS WINGS,WNBA,HILLARY VICTORY FUND,"$2,700 ",2016,Democrat,
Bill Cameron,DALLAS WINGS,WNBA,BETH LINDSTROM FOR US SENATE INC,"$2,700 ",2018,Republican,0.441
Bill Cameron,DALLAS WINGS,WNBA,LUCAS FOR CONGRESS,"$2,000 ",2018,Republican,0.441
Bill Cameron,DALLAS WINGS,WNBA,MCSALLY FOR SENATE INC,"$1,000 ",2018,Republican,0.441
Bill Cameron,DALLAS WINGS,WNBA,HERN FOR CONGRESS,"$1,000 ",2020,Republican,0.364
Bill Cameron,DALLAS WINGS,WNBA,THOM TILLIS COMMITTEE,"$1,000 ",2020,Republican,0.364
Bill Cameron,DALLAS WINGS,WNBA,FAMILIES FOR JAMES LANKFORD,$421 ,2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Boehner for Speaker,"$18,675 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Portman Victory Committee,"$15,000 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Missouri Republican State Committee-Federal,"$10,000 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Portman-Ohio Victory Committee,"$5,000 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,The Committee to Elect Delegates,"$5,000 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,McConnell for Majority Leader Committee,"$5,000 ",2018,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,McConnell Senate Committee ,"$5,000 ",2018,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Ohio Republican Party State Central & Executive Committee,"$5,000 ",2018,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Promoting Our Republican Team PAC,"$5,000 ",2018,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Jeb 2016. Inc.,"$2,700 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,"Ron Johnson for Senate, Inc.","$2,700 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Lindsey Graham 2016,"$2,500 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Wenstrup for Congress,"$2,000 ",2016,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Bill Nelson for US Senate,"$1,000 ",2018,Democrat,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Alaskans for Dan Sullivan,"$1,000 ",2020,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Brad Wenstrup Victory Fund,"$1,000 ",2020,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Ohio Republican Party State Central & Executive Committee,"$1,000 ",2020,Republican,
Bill Dewitt Jr.,ST LOUIS CARDINALS,MLB,Steve Daines for Montana,$500 ,2020,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,1820 PAC,"$250,000 ",2020,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,TRUMP VICTORY,"$250,000 ",2020,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,NEW REPUBLICAN PAC,"$206,100 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,DEFENDARIZONA,"$100,000 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,SENATE LEADERSHIP FUND,"$82,300 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,RICK SCOTT VICTORY FUND,"$36,600 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,MCSALLY ARIZONA VICTORY FUND,"$20,400 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,HELLER VICTORY COMMITTEE,"$17,700 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,ROSENDALE VICTORY FUND,"$15,300 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,HOUSLEY FOR SENATE COMMITTEE,"$5,400 ",2018,Republican,
Bill Foley,VEGAS GOLDEN KNIGHTS,NHL,JOSH HAWLEY FOR SENATE,"$5,400 ",2018,Republican,
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,TRUMP VICTORY,"$17,501 ",2020,Republican,0.818
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,600 ",2020,Democrat,0.818
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,SUSIE LEE FOR CONGRESS,"$5,600 ",2020,Democrat,0.818
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,HELLER FOR SENATE,"$5,400 ",2018,Republican,0.424
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,NEVADANS FOR STEVEN HORSFORD,"$5,400 ",2018,Democrat,0.424
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,SUSIE LEE FOR CONGRESS,"$5,400 ",2018,Democrat,0.424
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,AMERICAN POSSIBILITIES PAC,"$5,000 ",2018,Democrat,0.424
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,BIDEN FOR PRESIDENT,"$2,800 ",2020,Democrat,0.818
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,ACTBLUE,"$1,120 ",2020,Democrat,0.818
Bill Hornbuckle (MGM Resorts International),LAS VEGAS ACES,WNBA,ROMNEY FOR UTAH INC,"$1,000 ",2018,Republican,0.424
Billie Jean King,LOS ANGELES DODGERS,MLB,Amy for America,"$2,800 ",2020,Democrat,
Billie Jean King,LOS ANGELES DODGERS,MLB,"Amy McGrath for Senate, Inc.","$2,800 ",2020,Democrat,
Billie Jean King,LOS ANGELES DODGERS,MLB,Biden for President,"$2,800 ",2020,Democrat,
Billie Jean King,LOS ANGELES DODGERS,MLB,DSCC,"$1,400 ",2020,Democrat,
Billie Jean King,LOS ANGELES DODGERS,MLB,Jaime Harrison for US Senate,"$1,400 ",2020,Democrat,
Bob Nutting,PITTSBURGH PIRATES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2016,Bipartisan,0.484
Bob Nutting,PITTSBURGH PIRATES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan,0.509
Bob Nutting,PITTSBURGH PIRATES,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,
Bob R. Simpson,TEXAS RANGERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$3,000 ",2018,Bipartisan,0.414
Bob R. Simpson,TEXAS RANGERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$1,000 ",2016,Bipartisan,0.586
Bob R. Simpson,TEXAS RANGERS,MLB,Office of the Commissioner of Major League Baseball PAC,"$1,000 ",2020,Bipartisan,
Bobby Patton,LOS ANGELES DODGERS,MLB,Hillary Victory Fund,"$36,100 ",2016,Democrat,0.562
Bruce Sherman,MIAMI MARLINS,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,
Bruce Sherman,MIAMI MARLINS,MLB,Ro for Congress,"$2,700 ",2018,Democrat,0.391
Bruce Sherman,MIAMI MARLINS,MLB,Ro for Congress,"$1,000 ",2020,Democrat,
Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2016,Bipartisan,0.563
Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.313
Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$5,600 ",2020,Democrat,0.688
Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$5,400 ",2018,Democrat,0.313
Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.688
Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Charlie Crist for Congress,"$2,700 ",2016,Democrat,0.563
Bryan Glazer,TAMPA BAY BUCCANEERS,NFL,Rick Scott for Florida,"$2,700 ",2018,Republican,0.313
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,McConnell for Majority Leader Committee,"$10,600 ",2020,Republican,
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$10,000 ",2018,Bipartisan,
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Collins for Senator,"$5,600 ",2020,Republican,
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Tiffany Shedd for Congress Committee,"$5,600 ",2020,Republican,
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,McSally for Senate Inc.,"$5,400 ",2018,Republican,
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Trump Victory,"$5,400 ",2018,Republican,
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$5,000 ",2016,Bipartisan,
Carole Moreno,LOS ANGELES ANGELS OF ANAHEIM,MLB,Office of the Commissioner of Major League Baseball Political Action Committee,"$5,000 ",2020,Bipartisan,
Cathy Engelbert,COMMISSIONER,WNBA,DELOITTE POLITICAL ACTION COMMITTEE,"$3,750 ",2020,Bipartisan,
Charles Johnson,SAN FRANCISCO GIANTS,MLB,CONGRESSIONAL LEADERSHIP FUND,"$1,850,000 ",2018,Republican,0.451
Charles Johnson,SAN FRANCISCO GIANTS,MLB,RIGHT TO RISE USA,"$1,500,000 ",2016,Republican,0.537
Charles Johnson,SAN FRANCISCO GIANTS,MLB,SENATE LEADERSHIP FUND,"$1,300,000 ",2018,Republican,0.451
